- Ant-RC05 | Ant-RC05 5dBi Panel Antenna | Fixed RFID Readers | Stably and read multi-tags under a moderate range accurately
- CM710-4 | CM710-4 UHF RFID Module (4-Port) | RFID Modules | Impinj E710 Chip, 4-Port RFID Module
- CM710-8 | CM710-8 UHF RFID Module (8-Port) | RFID Modules | Impinj E710 Chip,8-Port RFID Module
- CP20 | CP20 Barcode Printer | Printers | Various interfaces, Max. Printing Speed Up to 152mm/s(6ips)
- CP30 | CP30 RFID Printer | Printers | Powerful RFID and Barcode Printing, Speedy and Highly Secured
- MC21 | MC21 Mobile Computer (Android 12) | Mobile Computers | 3.5-inch touchscreen, 5000mAh removable battery
- MC50 | MC50 5G Mobile Computer (Android 12/14) | Mobile Computers | 5G, IP67 Sealing , 6-inch HD screen，5000mAh Removable Battery
- MC50 | MC50 5G UHF RFID Reader (Android 12/14) | Handheld RFID Readers | 5G, Detachable RFID Sled, Based on Impinj E710 chip
- MC51 | MC51 5G Built-in RFID Reader (Android 14) | Handheld RFID Readers | Breakthrough in Read Rates and Accuracy. Powerful RFID Now Fits Right in Your Pocket.
- MC51 | MC51 5G Mobile Computer (Android 14) | Mobile Computers | Flagship Performance, Long-Term Value
- MC51 | MC51 5G UHF RFID Reader (Android 14) | Handheld RFID Readers | The New Benchmark in RFID Performance — Max Speed, Max Range, Max Accuracy.
- MC51S | MC51S Built-in RFID Reader (Android 16) | Handheld RFID Readers | Integrated UHF, Android 16, and 2.8GHz performance—lightweight yet powerful.
- MC51S | MC51S Mobile Computer (Android 16) | Mobile Computers | Android 16 and Google AER certified, optional 2.8GHz, IP67 sealing.
- MC51S | MC51S UHF RFID Reader (Android 16) | Handheld RFID Readers | Clip on, capture more. Qualcomm 2.8GHz, Android 16, up to 1,300 tags/s and 30m+ read range.
- MC62 | MC62 Mobile Computer (Android 13) | Mobile Computers | 5000mAh Removable Battery，supports barcode scanning, NFC, 13MP camera
- MC80 | MC80 5G UHF RFID Reader (Android 16) | Handheld RFID Readers | Chip-level RFID integration with Android 16, 5G, Wi-Fi 7 and on-device AI.
- MC95 | MC95 Mobile Computer (Android 12) | Mobile Computers | IP68 Sealing, 5000mAh Removable Battery，Front & Rear Dual Camera
- MR20 | MR20 Wearable RFID Reader | Bluetooth RFID Readers | Wearable Bluetooth RFID reader, Supports gloves, wristbands, lanyards
- P100 | P100 5G Built-in RFID Tablet (Android 14) | Rugged Tablets | Built-in UHF module, Read Range of 3+ m, 11 inch HD Display
- P100 | P100 AI 5G Industrial Tablet (Android 14) | Rugged Tablets | 5G，10.95" Display，10000mAh Removable Battery，IP67 Sealing
- P100 | P100 AI 5G Medical Tablet (Android 14) | Rugged Tablets | 11-inch large display with 5G and Wi-Fi 6 support, medical-grade antimicrobial design, wet-hand and glove operation supported
- P100S | P100S Industrial Tablet (Android 14) | Rugged Tablets | 10.95-inch display, 10,000mAh removable smart battery
- P80 | P80 Industrial Tablet (Android 13) | Biometric Readers, Rugged Tablets | 8'' Screen & 8700mAh Battery, Abundant Functions Available
- P80 | P80 Industrial Tablet (Android 9) | Biometric Readers, Rugged Tablets | 8'' Screen & 8000mAh Battery, Abundant Functions Available
- P80 | P80 Optical Fingerprint Tablet (Android 9) | Biometric Readers | 8" Screen, With FBI Certified Morpho Fingerprint, 1/2D, NFC, etc.
- P80 | P80 RFID Tablet (Android 13) | Rugged Tablets | 8'' Screen & 8700mAh Battery, Abundant Functions Available
- P80 | P80 RFID Tablet (Android 9) | Rugged Tablets | Superior UHF RFID Performance, 8000mAh Powerful Battery
- R1 | R1 RFID Reader/Writer | Fixed RFID Readers | Supports Multiple Protocol Standards With Excellent HF&UHF Performance
- R2 | R2 Bluetooth RFID Reader | Bluetooth RFID Readers, Handheld RFID Readers | UHF Reading and Writing (Up to 31m Outdoors) ，1D/2D Scanning
- R3 | R3 Desktop RFID Reader | Bluetooth RFID Readers, Fixed RFID Readers | Supports Windows / Android / IOS applications
- R3S | R3S Desktop RFID Reader | Fixed RFID Readers | Compact in Form. Flexible in Deployment. Built for Your Setup.
- R5 | R5 Wearable RFID Reader | Bluetooth RFID Readers | Can be paired with Android/iOS device via Bluetooth, RIFD R/W Up to 14m
- R6 | R6 UHF RFID Sled Reader | Bluetooth RFID Readers, Handheld RFID Readers | Powerful RFID (Impinj E Series chips, Up to 31m), Android/iOS SDK Supported
- R7 | R7 UHF RFID Sled Reader | Bluetooth RFID Readers, Handheld RFID Readers | Make Your Device a Pro RFID Terminal.
- SR160 | SR160 Bluetooth RFID Scanner | Bluetooth RFID Readers | UHF & Barcode in One Device. Lightweight, Ergonomic, Versatile.
- SR160 | SR160 UHF RFID Scanner | Handheld RFID Readers | UHF & Barcode in One Device. Lightweight, Ergonomic, Versatile.
- U300 | U300 Fixed RFID Reader (Android 11) | Fixed RFID Readers | Optional 4 or 8 ports RFID Reader，Based on Impinj E Series chips
- UR1A | UR1A Integrated RFID Reader | Fixed RFID Readers | Single-channel Fixed RFID Reader, Based on Impinj E Series chips
- UR4 | UR4 Fixed RFID Reader | Fixed RFID Readers | Four-port Fixed UHF Reader, Supports RS232 and RJ45
- UR8 | UR8 Fixed RFID Reader | Fixed RFID Readers | More Ports, Superior Performance, Perfect for Complex Deployments
- URA4 | URA4 Fixed RFID Reader (Android 13) | Fixed RFID Readers | Excellent RFID Capability with Suitable Android OS & Various Interface
- URA4 | URA4 Fixed RFID Reader (Android 9) | Fixed RFID Readers | 4-port, Based on Impinj E Series chips, Supports RS232/RJ45/HDMI
- V600S | V600S Vehicle Computer | Vehicle Computers | 5.5" Display, All-around Dynamic Data Monitoring
